geoName,needy
Alabama,78
Alaska,41
Arizona,62
Arkansas,77
California,68
Colorado,70
Connecticut,60
Delaware,46
District of Columbia,64
Florida,96
Georgia,79
Hawaii,61
Idaho,68
Illinois,64
Indiana,63
Iowa,53
Kansas,59
Kentucky,69
Louisiana,69
Maine,80
Maryland,55
Massachusetts,62
Michigan,68
Minnesota,59
Mississippi,68
Missouri,100
Montana,54
Nebraska,57
Nevada,84
New Hampshire,64
New Jersey,68
New Mexico,51
New York,66
North Carolina,68
North Dakota,50
Ohio,64
Oklahoma,61
Oregon,69
Pennsylvania,65
Rhode Island,82
South Carolina,60
South Dakota,71
Tennessee,63
Texas,69
Utah,85
Vermont,30
Virginia,64
Washington,64
West Virginia,83
Wisconsin,51
Wyoming,100
