date,needy,isPartial
2013-01-06,57,False
2013-01-13,64,False
2013-01-20,51,False
2013-01-27,56,False
2013-02-03,57,False
2013-02-10,58,False
2013-02-17,51,False
2013-02-24,55,False
2013-03-03,60,False
2013-03-10,49,False
2013-03-17,44,False
2013-03-24,44,False
2013-03-31,47,False
2013-04-07,58,False
2013-04-14,56,False
2013-04-21,43,False
2013-04-28,46,False
2013-05-05,59,False
2013-05-12,57,False
2013-05-19,55,False
2013-05-26,45,False
2013-06-02,61,False
2013-06-09,52,False
2013-06-16,47,False
2013-06-23,67,False
2013-06-30,48,False
2013-07-07,59,False
2013-07-14,54,False
2013-07-21,50,False
2013-07-28,63,False
2013-08-04,69,False
2013-08-11,52,False
2013-08-18,64,False
2013-08-25,53,False
2013-09-01,52,False
2013-09-08,47,False
2013-09-15,65,False
2013-09-22,75,False
2013-09-29,58,False
2013-10-06,59,False
2013-10-13,57,False
2013-10-20,77,False
2013-10-27,70,False
2013-11-03,80,False
2013-11-10,95,False
2013-11-17,85,False
2013-11-24,88,False
2013-12-01,93,False
2013-12-08,94,False
2013-12-15,100,False
2013-12-22,63,False
2013-12-29,58,False
