geoName,nervous
Alabama,91
Alaska,83
Arizona,69
Arkansas,100
California,73
Colorado,63
Connecticut,77
Delaware,69
District of Columbia,59
Florida,80
Georgia,74
Hawaii,67
Idaho,86
Illinois,67
Indiana,88
Iowa,93
Kansas,64
Kentucky,80
Louisiana,75
Maine,97
Maryland,83
Massachusetts,80
Michigan,76
Minnesota,74
Mississippi,96
Missouri,86
Montana,68
Nebraska,74
Nevada,66
New Hampshire,80
New Jersey,70
New Mexico,77
New York,69
North Carolina,85
North Dakota,98
Ohio,79
Oklahoma,71
Oregon,49
Pennsylvania,76
Rhode Island,90
South Carolina,78
South Dakota,88
Tennessee,71
Texas,75
Utah,68
Vermont,94
Virginia,50
Washington,60
West Virginia,87
Wisconsin,80
Wyoming,77
