date,nightmarish,isPartial
2014-01-05,10,False
2014-01-12,63,False
2014-01-19,31,False
2014-01-26,26,False
2014-02-02,33,False
2014-02-09,21,False
2014-02-16,10,False
2014-02-23,31,False
2014-03-02,20,False
2014-03-09,16,False
2014-03-16,26,False
2014-03-23,16,False
2014-03-30,16,False
2014-04-06,16,False
2014-04-13,5,False
2014-04-20,21,False
2014-04-27,16,False
2014-05-04,16,False
2014-05-11,38,False
2014-05-18,18,False
2014-05-25,6,False
2014-06-01,18,False
2014-06-08,100,False
2014-06-15,32,False
2014-06-22,25,False
2014-06-29,27,False
2014-07-06,13,False
2014-07-13,6,False
2014-07-20,19,False
2014-07-27,37,False
2014-08-03,33,False
2014-08-10,24,False
2014-08-17,61,False
2014-08-24,36,False
2014-08-31,18,False
2014-09-07,11,False
2014-09-14,29,False
2014-09-21,29,False
2014-09-28,23,False
2014-10-05,41,False
2014-10-12,12,False
2014-10-19,35,False
2014-10-26,23,False
2014-11-02,6,False
2014-11-09,11,False
2014-11-16,11,False
2014-11-23,0,False
2014-11-30,16,False
2014-12-07,0,False
2014-12-14,12,False
2014-12-21,21,False
2014-12-28,6,False
