geoName,obesity
Alabama,69
Alaska,58
Arizona,63
Arkansas,81
California,57
Colorado,59
Connecticut,70
Delaware,92
District of Columbia,72
Florida,49
Georgia,53
Hawaii,78
Idaho,81
Illinois,54
Indiana,69
Iowa,81
Kansas,56
Kentucky,69
Louisiana,62
Maine,73
Maryland,73
Massachusetts,63
Michigan,59
Minnesota,61
Mississippi,71
Missouri,61
Montana,71
Nebraska,77
Nevada,49
New Hampshire,69
New Jersey,55
New Mexico,73
New York,59
North Carolina,68
North Dakota,100
Ohio,66
Oklahoma,53
Oregon,45
Pennsylvania,66
Rhode Island,81
South Carolina,74
South Dakota,97
Tennessee,67
Texas,51
Utah,70
Vermont,64
Virginia,61
Washington,52
West Virginia,73
Wisconsin,62
Wyoming,57
