geoName,observation
Alabama,74
Alaska,76
Arizona,69
Arkansas,90
California,67
Colorado,70
Connecticut,82
Delaware,98
District of Columbia,71
Florida,77
Georgia,65
Hawaii,78
Idaho,69
Illinois,69
Indiana,85
Iowa,84
Kansas,64
Kentucky,70
Louisiana,72
Maine,61
Maryland,93
Massachusetts,73
Michigan,60
Minnesota,72
Mississippi,100
Missouri,73
Montana,53
Nebraska,63
Nevada,80
New Hampshire,59
New Jersey,85
New Mexico,83
New York,86
North Carolina,69
North Dakota,68
Ohio,83
Oklahoma,66
Oregon,43
Pennsylvania,82
Rhode Island,66
South Carolina,67
South Dakota,65
Tennessee,72
Texas,61
Utah,66
Vermont,59
Virginia,52
Washington,61
West Virginia,81
Wisconsin,60
Wyoming,68
