date,observation,isPartial
2014-01-05,38,False
2014-01-12,51,False
2014-01-19,58,False
2014-01-26,56,False
2014-02-02,55,False
2014-02-09,54,False
2014-02-16,50,False
2014-02-23,57,False
2014-03-02,48,False
2014-03-09,47,False
2014-03-16,46,False
2014-03-23,46,False
2014-03-30,50,False
2014-04-06,49,False
2014-04-13,48,False
2014-04-20,50,False
2014-04-27,50,False
2014-05-04,56,False
2014-05-11,46,False
2014-05-18,45,False
2014-05-25,41,False
2014-06-01,44,False
2014-06-08,37,False
2014-06-15,41,False
2014-06-22,36,False
2014-06-29,31,False
2014-07-06,33,False
2014-07-13,36,False
2014-07-20,36,False
2014-07-27,32,False
2014-08-03,35,False
2014-08-10,43,False
2014-08-17,61,False
2014-08-24,87,False
2014-08-31,88,False
2014-09-07,100,False
2014-09-14,91,False
2014-09-21,84,False
2014-09-28,73,False
2014-10-05,68,False
2014-10-12,61,False
2014-10-19,57,False
2014-10-26,56,False
2014-11-02,59,False
2014-11-09,51,False
2014-11-16,49,False
2014-11-23,39,False
2014-11-30,50,False
2014-12-07,52,False
2014-12-14,44,False
2014-12-21,24,False
2014-12-28,26,False
