geoName,oncoming
Alabama,23
Alaska,0
Arizona,38
Arkansas,29
California,87
Colorado,28
Connecticut,35
Delaware,0
District of Columbia,31
Florida,46
Georgia,47
Hawaii,0
Idaho,19
Illinois,39
Indiana,63
Iowa,83
Kansas,31
Kentucky,40
Louisiana,54
Maine,38
Maryland,31
Massachusetts,24
Michigan,59
Minnesota,26
Mississippi,100
Missouri,39
Montana,0
Nebraska,14
Nevada,41
New Hampshire,0
New Jersey,31
New Mexico,34
New York,37
North Carolina,30
North Dakota,0
Ohio,34
Oklahoma,21
Oregon,43
Pennsylvania,52
Rhode Island,0
South Carolina,35
South Dakota,0
Tennessee,55
Texas,67
Utah,39
Vermont,0
Virginia,34
Washington,36
West Virginia,65
Wisconsin,21
Wyoming,0
