date,oncoming,isPartial
2016-01-03,68,False
2016-01-10,72,False
2016-01-17,61,False
2016-01-24,83,False
2016-01-31,48,False
2016-02-07,24,False
2016-02-14,53,False
2016-02-21,76,False
2016-02-28,61,False
2016-03-06,67,False
2016-03-13,50,False
2016-03-20,67,False
2016-03-27,80,False
2016-04-03,90,False
2016-04-10,90,False
2016-04-17,62,False
2016-04-24,62,False
2016-05-01,79,False
2016-05-08,78,False
2016-05-15,57,False
2016-05-22,38,False
2016-05-29,67,False
2016-06-05,80,False
2016-06-12,58,False
2016-06-19,70,False
2016-06-26,69,False
2016-07-03,43,False
2016-07-10,78,False
2016-07-17,26,False
2016-07-24,51,False
2016-07-31,78,False
2016-08-07,100,False
2016-08-14,55,False
2016-08-21,82,False
2016-08-28,69,False
2016-09-04,88,False
2016-09-11,73,False
2016-09-18,55,False
2016-09-25,73,False
2016-10-02,63,False
2016-10-09,61,False
2016-10-16,59,False
2016-10-23,65,False
2016-10-30,60,False
2016-11-06,47,False
2016-11-13,45,False
2016-11-20,59,False
2016-11-27,53,False
2016-12-04,50,False
2016-12-11,77,False
2016-12-18,49,False
2016-12-25,40,False
