geoName,oppressed
Alabama,52
Alaska,11
Arizona,44
Arkansas,44
California,60
Colorado,56
Connecticut,58
Delaware,100
District of Columbia,63
Florida,42
Georgia,66
Hawaii,42
Idaho,60
Illinois,56
Indiana,59
Iowa,70
Kansas,53
Kentucky,58
Louisiana,55
Maine,43
Maryland,69
Massachusetts,64
Michigan,67
Minnesota,68
Mississippi,35
Missouri,44
Montana,59
Nebraska,24
Nevada,33
New Hampshire,88
New Jersey,57
New Mexico,60
New York,68
North Carolina,66
North Dakota,12
Ohio,54
Oklahoma,53
Oregon,31
Pennsylvania,55
Rhode Island,93
South Carolina,53
South Dakota,73
Tennessee,50
Texas,48
Utah,50
Vermont,58
Virginia,52
Washington,61
West Virginia,39
Wisconsin,32
Wyoming,37
