geoName,overcome
Alabama,84
Alaska,78
Arizona,91
Arkansas,92
California,82
Colorado,67
Connecticut,80
Delaware,73
District of Columbia,71
Florida,80
Georgia,85
Hawaii,92
Idaho,100
Illinois,75
Indiana,86
Iowa,70
Kansas,82
Kentucky,75
Louisiana,88
Maine,65
Maryland,82
Massachusetts,68
Michigan,78
Minnesota,80
Mississippi,94
Missouri,79
Montana,44
Nebraska,71
Nevada,63
New Hampshire,65
New Jersey,87
New Mexico,78
New York,73
North Carolina,87
North Dakota,66
Ohio,77
Oklahoma,84
Oregon,71
Pennsylvania,77
Rhode Island,71
South Carolina,84
South Dakota,100
Tennessee,82
Texas,82
Utah,89
Vermont,48
Virginia,87
Washington,69
West Virginia,78
Wisconsin,70
Wyoming,66
