date,overcome,isPartial
2011-01-02,81,False
2011-01-09,93,False
2011-01-16,88,False
2011-01-23,87,False
2011-01-30,90,False
2011-02-06,97,False
2011-02-13,89,False
2011-02-20,100,False
2011-02-27,93,False
2011-03-06,86,False
2011-03-13,80,False
2011-03-20,94,False
2011-03-27,97,False
2011-04-03,73,False
2011-04-10,88,False
2011-04-17,85,False
2011-04-24,95,False
2011-05-01,98,False
2011-05-08,84,False
2011-05-15,88,False
2011-05-22,83,False
2011-05-29,75,False
2011-06-05,76,False
2011-06-12,79,False
2011-06-19,70,False
2011-06-26,84,False
2011-07-03,77,False
2011-07-10,78,False
2011-07-17,76,False
2011-07-24,80,False
2011-07-31,67,False
2011-08-07,70,False
2011-08-14,73,False
2011-08-21,75,False
2011-08-28,76,False
2011-09-04,84,False
2011-09-11,95,False
2011-09-18,91,False
2011-09-25,87,False
2011-10-02,90,False
2011-10-09,97,False
2011-10-16,91,False
2011-10-23,88,False
2011-10-30,96,False
2011-11-06,94,False
2011-11-13,88,False
2011-11-20,78,False
2011-11-27,84,False
2011-12-04,79,False
2011-12-11,87,False
2011-12-18,64,False
2011-12-25,54,False
