geoName,overeating
Alabama,46
Alaska,67
Arizona,37
Arkansas,66
California,49
Colorado,55
Connecticut,55
Delaware,31
District of Columbia,56
Florida,36
Georgia,35
Hawaii,47
Idaho,67
Illinois,50
Indiana,49
Iowa,44
Kansas,44
Kentucky,46
Louisiana,46
Maine,100
Maryland,42
Massachusetts,69
Michigan,42
Minnesota,47
Mississippi,56
Missouri,47
Montana,61
Nebraska,49
Nevada,29
New Hampshire,39
New Jersey,53
New Mexico,72
New York,46
North Carolina,36
North Dakota,60
Ohio,36
Oklahoma,60
Oregon,35
Pennsylvania,51
Rhode Island,48
South Carolina,45
South Dakota,25
Tennessee,42
Texas,36
Utah,34
Vermont,71
Virginia,44
Washington,49
West Virginia,59
Wisconsin,39
Wyoming,0
