geoName,pain
Alabama,88
Alaska,78
Arizona,75
Arkansas,85
California,64
Colorado,70
Connecticut,76
Delaware,78
District of Columbia,73
Florida,69
Georgia,74
Hawaii,67
Idaho,72
Illinois,72
Indiana,80
Iowa,73
Kansas,73
Kentucky,95
Louisiana,80
Maine,77
Maryland,75
Massachusetts,73
Michigan,80
Minnesota,71
Mississippi,85
Missouri,77
Montana,75
Nebraska,77
Nevada,66
New Hampshire,83
New Jersey,75
New Mexico,74
New York,71
North Carolina,77
North Dakota,75
Ohio,81
Oklahoma,83
Oregon,68
Pennsylvania,83
Rhode Island,75
South Carolina,79
South Dakota,75
Tennessee,88
Texas,70
Utah,73
Vermont,70
Virginia,74
Washington,73
West Virginia,100
Wisconsin,79
Wyoming,72
