date,pain,isPartial
2014-01-05,93,False
2014-01-12,92,False
2014-01-19,91,False
2014-01-26,93,False
2014-02-02,89,False
2014-02-09,87,False
2014-02-16,92,False
2014-02-23,96,False
2014-03-02,90,False
2014-03-09,95,False
2014-03-16,94,False
2014-03-23,92,False
2014-03-30,91,False
2014-04-06,95,False
2014-04-13,95,False
2014-04-20,96,False
2014-04-27,97,False
2014-05-04,94,False
2014-05-11,97,False
2014-05-18,100,False
2014-05-25,96,False
2014-06-01,96,False
2014-06-08,93,False
2014-06-15,97,False
2014-06-22,97,False
2014-06-29,93,False
2014-07-06,100,False
2014-07-13,97,False
2014-07-20,99,False
2014-07-27,96,False
2014-08-03,97,False
2014-08-10,94,False
2014-08-17,97,False
2014-08-24,94,False
2014-08-31,95,False
2014-09-07,92,False
2014-09-14,92,False
2014-09-21,90,False
2014-09-28,94,False
2014-10-05,93,False
2014-10-12,92,False
2014-10-19,91,False
2014-10-26,94,False
2014-11-02,92,False
2014-11-09,91,False
2014-11-16,88,False
2014-11-23,87,False
2014-11-30,89,False
2014-12-07,88,False
2014-12-14,90,False
2014-12-21,89,False
2014-12-28,94,False
