geoName,panic
Alabama,96
Alaska,75
Arizona,76
Arkansas,81
California,75
Colorado,100
Connecticut,81
Delaware,90
District of Columbia,70
Florida,74
Georgia,81
Hawaii,67
Idaho,88
Illinois,75
Indiana,87
Iowa,83
Kansas,62
Kentucky,79
Louisiana,85
Maine,90
Maryland,73
Massachusetts,86
Michigan,78
Minnesota,71
Mississippi,88
Missouri,84
Montana,83
Nebraska,77
Nevada,85
New Hampshire,87
New Jersey,80
New Mexico,83
New York,78
North Carolina,87
North Dakota,70
Ohio,82
Oklahoma,79
Oregon,61
Pennsylvania,86
Rhode Island,84
South Carolina,82
South Dakota,68
Tennessee,89
Texas,73
Utah,82
Vermont,90
Virginia,54
Washington,72
West Virginia,98
Wisconsin,81
Wyoming,61
