date,paranoid,isPartial
2014-01-05,81,False
2014-01-12,86,False
2014-01-19,90,False
2014-01-26,95,False
2014-02-02,93,False
2014-02-09,87,False
2014-02-16,93,False
2014-02-23,97,False
2014-03-02,100,False
2014-03-09,98,False
2014-03-16,99,False
2014-03-23,98,False
2014-03-30,89,False
2014-04-06,81,False
2014-04-13,80,False
2014-04-20,76,False
2014-04-27,73,False
2014-05-04,72,False
2014-05-11,67,False
2014-05-18,70,False
2014-05-25,57,False
2014-06-01,59,False
2014-06-08,56,False
2014-06-15,56,False
2014-06-22,63,False
2014-06-29,53,False
2014-07-06,50,False
2014-07-13,49,False
2014-07-20,48,False
2014-07-27,47,False
2014-08-03,47,False
2014-08-10,44,False
2014-08-17,45,False
2014-08-24,43,False
2014-08-31,47,False
2014-09-07,42,False
2014-09-14,38,False
2014-09-21,43,False
2014-09-28,46,False
2014-10-05,39,False
2014-10-12,48,False
2014-10-19,45,False
2014-10-26,42,False
2014-11-02,36,False
2014-11-09,42,False
2014-11-16,39,False
2014-11-23,34,False
2014-11-30,38,False
2014-12-07,40,False
2014-12-14,40,False
2014-12-21,32,False
2014-12-28,38,False
