geoName,patience
Alabama,96
Alaska,100
Arizona,79
Arkansas,88
California,85
Colorado,77
Connecticut,71
Delaware,100
District of Columbia,86
Florida,84
Georgia,95
Hawaii,99
Idaho,88
Illinois,78
Indiana,80
Iowa,71
Kansas,71
Kentucky,79
Louisiana,91
Maine,68
Maryland,85
Massachusetts,76
Michigan,81
Minnesota,79
Mississippi,92
Missouri,79
Montana,57
Nebraska,74
Nevada,77
New Hampshire,81
New Jersey,81
New Mexico,72
New York,80
North Carolina,79
North Dakota,91
Ohio,74
Oklahoma,85
Oregon,71
Pennsylvania,80
Rhode Island,74
South Carolina,93
South Dakota,67
Tennessee,85
Texas,85
Utah,90
Vermont,72
Virginia,83
Washington,79
West Virginia,80
Wisconsin,75
Wyoming,88
