geoName,patient
Alabama,64
Alaska,38
Arizona,53
Arkansas,61
California,44
Colorado,42
Connecticut,56
Delaware,59
District of Columbia,72
Florida,54
Georgia,49
Hawaii,46
Idaho,47
Illinois,46
Indiana,60
Iowa,52
Kansas,54
Kentucky,61
Louisiana,54
Maine,65
Maryland,100
Massachusetts,80
Michigan,56
Minnesota,53
Mississippi,58
Missouri,53
Montana,50
Nebraska,51
Nevada,41
New Hampshire,59
New Jersey,53
New Mexico,47
New York,47
North Carolina,59
North Dakota,60
Ohio,59
Oklahoma,50
Oregon,50
Pennsylvania,64
Rhode Island,58
South Carolina,64
South Dakota,75
Tennessee,74
Texas,45
Utah,44
Vermont,58
Virginia,89
Washington,42
West Virginia,68
Wisconsin,50
Wyoming,46
