geoName,pattern
Alabama,70
Alaska,100
Arizona,62
Arkansas,79
California,53
Colorado,68
Connecticut,57
Delaware,66
District of Columbia,42
Florida,51
Georgia,57
Hawaii,55
Idaho,94
Illinois,54
Indiana,71
Iowa,72
Kansas,66
Kentucky,66
Louisiana,64
Maine,94
Maryland,60
Massachusetts,59
Michigan,67
Minnesota,72
Mississippi,67
Missouri,66
Montana,91
Nebraska,70
Nevada,52
New Hampshire,79
New Jersey,48
New Mexico,78
New York,50
North Carolina,64
North Dakota,71
Ohio,65
Oklahoma,64
Oregon,61
Pennsylvania,65
Rhode Island,59
South Carolina,61
South Dakota,76
Tennessee,66
Texas,55
Utah,88
Vermont,89
Virginia,47
Washington,73
West Virginia,81
Wisconsin,74
Wyoming,88
