geoName,peers
Alabama,74
Alaska,64
Arizona,75
Arkansas,64
California,84
Colorado,55
Connecticut,76
Delaware,60
District of Columbia,49
Florida,55
Georgia,56
Hawaii,71
Idaho,76
Illinois,58
Indiana,78
Iowa,93
Kansas,80
Kentucky,77
Louisiana,46
Maine,66
Maryland,63
Massachusetts,65
Michigan,63
Minnesota,61
Mississippi,93
Missouri,97
Montana,44
Nebraska,95
Nevada,71
New Hampshire,62
New Jersey,78
New Mexico,69
New York,62
North Carolina,71
North Dakota,92
Ohio,77
Oklahoma,92
Oregon,70
Pennsylvania,74
Rhode Island,78
South Carolina,54
South Dakota,73
Tennessee,61
Texas,63
Utah,87
Vermont,50
Virginia,72
Washington,61
West Virginia,61
Wisconsin,65
Wyoming,100
