geoName,pessimism
Alabama,69
Alaska,0
Arizona,54
Arkansas,57
California,74
Colorado,72
Connecticut,83
Delaware,0
District of Columbia,78
Florida,63
Georgia,51
Hawaii,98
Idaho,45
Illinois,56
Indiana,91
Iowa,24
Kansas,33
Kentucky,43
Louisiana,100
Maine,32
Maryland,84
Massachusetts,52
Michigan,58
Minnesota,55
Mississippi,28
Missouri,69
Montana,0
Nebraska,50
Nevada,42
New Hampshire,17
New Jersey,73
New Mexico,30
New York,63
North Carolina,78
North Dakota,0
Ohio,52
Oklahoma,56
Oregon,14
Pennsylvania,68
Rhode Island,35
South Carolina,62
South Dakota,0
Tennessee,38
Texas,55
Utah,36
Vermont,0
Virginia,44
Washington,47
West Virginia,53
Wisconsin,61
Wyoming,0
