geoName,pessimistic
Alabama,63
Alaska,77
Arizona,70
Arkansas,55
California,68
Colorado,44
Connecticut,61
Delaware,30
District of Columbia,53
Florida,61
Georgia,70
Hawaii,100
Idaho,54
Illinois,57
Indiana,60
Iowa,45
Kansas,46
Kentucky,33
Louisiana,71
Maine,39
Maryland,68
Massachusetts,47
Michigan,56
Minnesota,57
Mississippi,70
Missouri,58
Montana,51
Nebraska,65
Nevada,70
New Hampshire,54
New Jersey,55
New Mexico,76
New York,51
North Carolina,70
North Dakota,46
Ohio,57
Oklahoma,59
Oregon,51
Pennsylvania,58
Rhode Island,50
South Carolina,51
South Dakota,34
Tennessee,48
Texas,70
Utah,39
Vermont,50
Virginia,60
Washington,47
West Virginia,62
Wisconsin,42
Wyoming,25
