geoName,physician
Alabama,81
Alaska,64
Arizona,83
Arkansas,69
California,59
Colorado,72
Connecticut,88
Delaware,87
District of Columbia,78
Florida,98
Georgia,81
Hawaii,73
Idaho,75
Illinois,73
Indiana,83
Iowa,59
Kansas,85
Kentucky,80
Louisiana,85
Maine,81
Maryland,99
Massachusetts,87
Michigan,88
Minnesota,68
Mississippi,71
Missouri,77
Montana,73
Nebraska,89
Nevada,57
New Hampshire,71
New Jersey,74
New Mexico,68
New York,82
North Carolina,80
North Dakota,58
Ohio,82
Oklahoma,77
Oregon,71
Pennsylvania,100
Rhode Island,69
South Carolina,82
South Dakota,80
Tennessee,93
Texas,72
Utah,74
Vermont,70
Virginia,84
Washington,58
West Virginia,98
Wisconsin,67
Wyoming,54
