geoName,poor
Alabama,87
Alaska,75
Arizona,76
Arkansas,80
California,76
Colorado,80
Connecticut,80
Delaware,88
District of Columbia,87
Florida,74
Georgia,84
Hawaii,78
Idaho,86
Illinois,81
Indiana,84
Iowa,84
Kansas,85
Kentucky,86
Louisiana,80
Maine,87
Maryland,87
Massachusetts,80
Michigan,80
Minnesota,91
Mississippi,89
Missouri,86
Montana,79
Nebraska,79
Nevada,68
New Hampshire,100
New Jersey,85
New Mexico,72
New York,82
North Carolina,80
North Dakota,83
Ohio,80
Oklahoma,85
Oregon,76
Pennsylvania,89
Rhode Island,87
South Carolina,73
South Dakota,85
Tennessee,77
Texas,70
Utah,71
Vermont,86
Virginia,85
Washington,75
West Virginia,91
Wisconsin,81
Wyoming,96
