geoName,problem
Alabama,90
Alaska,88
Arizona,87
Arkansas,86
California,91
Colorado,82
Connecticut,95
Delaware,90
District of Columbia,72
Florida,80
Georgia,87
Hawaii,96
Idaho,88
Illinois,84
Indiana,94
Iowa,88
Kansas,85
Kentucky,87
Louisiana,88
Maine,83
Maryland,94
Massachusetts,95
Michigan,88
Minnesota,80
Mississippi,99
Missouri,89
Montana,81
Nebraska,81
Nevada,77
New Hampshire,90
New Jersey,93
New Mexico,82
New York,83
North Carolina,89
North Dakota,74
Ohio,87
Oklahoma,86
Oregon,87
Pennsylvania,87
Rhode Island,97
South Carolina,87
South Dakota,82
Tennessee,80
Texas,81
Utah,80
Vermont,100
Virginia,95
Washington,83
West Virginia,88
Wisconsin,87
Wyoming,73
