geoName,progress
Alabama,25
Alaska,15
Arizona,15
Arkansas,17
California,14
Colorado,16
Connecticut,19
Delaware,22
District of Columbia,34
Florida,90
Georgia,27
Hawaii,12
Idaho,17
Illinois,18
Indiana,19
Iowa,19
Kansas,16
Kentucky,20
Louisiana,16
Maine,16
Maryland,21
Massachusetts,18
Michigan,17
Minnesota,15
Mississippi,20
Missouri,20
Montana,17
Nebraska,13
Nevada,16
New Hampshire,23
New Jersey,19
New Mexico,14
New York,18
North Carolina,100
North Dakota,16
Ohio,76
Oklahoma,26
Oregon,22
Pennsylvania,25
Rhode Island,18
South Carolina,42
South Dakota,18
Tennessee,21
Texas,15
Utah,27
Vermont,20
Virginia,55
Washington,16
West Virginia,21
Wisconsin,18
Wyoming,16
