geoName,protect
Alabama,93
Alaska,84
Arizona,84
Arkansas,84
California,81
Colorado,83
Connecticut,85
Delaware,79
District of Columbia,75
Florida,87
Georgia,77
Hawaii,90
Idaho,92
Illinois,74
Indiana,93
Iowa,88
Kansas,76
Kentucky,84
Louisiana,83
Maine,77
Maryland,100
Massachusetts,80
Michigan,76
Minnesota,79
Mississippi,83
Missouri,81
Montana,79
Nebraska,79
Nevada,90
New Hampshire,71
New Jersey,86
New Mexico,87
New York,75
North Carolina,90
North Dakota,85
Ohio,86
Oklahoma,77
Oregon,63
Pennsylvania,82
Rhode Island,77
South Carolina,75
South Dakota,76
Tennessee,80
Texas,79
Utah,84
Vermont,74
Virginia,70
Washington,83
West Virginia,83
Wisconsin,79
Wyoming,87
