geoName,psychiatrist
Alabama,80
Alaska,46
Arizona,76
Arkansas,71
California,67
Colorado,55
Connecticut,83
Delaware,84
District of Columbia,81
Florida,86
Georgia,78
Hawaii,60
Idaho,51
Illinois,69
Indiana,64
Iowa,59
Kansas,54
Kentucky,80
Louisiana,87
Maine,62
Maryland,100
Massachusetts,81
Michigan,69
Minnesota,58
Mississippi,68
Missouri,81
Montana,43
Nebraska,55
Nevada,67
New Hampshire,55
New Jersey,86
New Mexico,69
New York,86
North Carolina,74
North Dakota,43
Ohio,68
Oklahoma,77
Oregon,36
Pennsylvania,87
Rhode Island,93
South Carolina,77
South Dakota,44
Tennessee,89
Texas,77
Utah,65
Vermont,77
Virginia,61
Washington,63
West Virginia,81
Wisconsin,56
Wyoming,39
