geoName,reactive
Alabama,62
Alaska,83
Arizona,59
Arkansas,66
California,54
Colorado,57
Connecticut,65
Delaware,71
District of Columbia,42
Florida,47
Georgia,54
Hawaii,49
Idaho,64
Illinois,56
Indiana,63
Iowa,70
Kansas,64
Kentucky,67
Louisiana,57
Maine,72
Maryland,64
Massachusetts,67
Michigan,62
Minnesota,60
Mississippi,57
Missouri,60
Montana,61
Nebraska,72
Nevada,47
New Hampshire,54
New Jersey,60
New Mexico,87
New York,50
North Carolina,58
North Dakota,83
Ohio,70
Oklahoma,65
Oregon,45
Pennsylvania,69
Rhode Island,69
South Carolina,53
South Dakota,100
Tennessee,57
Texas,54
Utah,58
Vermont,91
Virginia,60
Washington,59
West Virginia,77
Wisconsin,74
Wyoming,86
