geoName,reckless
Alabama,64
Alaska,69
Arizona,66
Arkansas,73
California,55
Colorado,70
Connecticut,56
Delaware,62
District of Columbia,72
Florida,54
Georgia,61
Hawaii,50
Idaho,73
Illinois,82
Indiana,67
Iowa,53
Kansas,62
Kentucky,74
Louisiana,50
Maine,61
Maryland,64
Massachusetts,47
Michigan,69
Minnesota,61
Mississippi,50
Missouri,69
Montana,55
Nebraska,74
Nevada,72
New Hampshire,77
New Jersey,54
New Mexico,74
New York,47
North Carolina,65
North Dakota,97
Ohio,69
Oklahoma,70
Oregon,43
Pennsylvania,65
Rhode Island,58
South Carolina,63
South Dakota,100
Tennessee,67
Texas,57
Utah,62
Vermont,61
Virginia,64
Washington,70
West Virginia,80
Wisconsin,73
Wyoming,89
