geoName,resulting
Alabama,68
Alaska,43
Arizona,53
Arkansas,62
California,43
Colorado,35
Connecticut,37
Delaware,35
District of Columbia,38
Florida,58
Georgia,47
Hawaii,34
Idaho,70
Illinois,45
Indiana,82
Iowa,52
Kansas,49
Kentucky,48
Louisiana,54
Maine,46
Maryland,43
Massachusetts,36
Michigan,52
Minnesota,42
Mississippi,59
Missouri,45
Montana,46
Nebraska,48
Nevada,41
New Hampshire,55
New Jersey,40
New Mexico,100
New York,39
North Carolina,67
North Dakota,88
Ohio,49
Oklahoma,53
Oregon,24
Pennsylvania,44
Rhode Island,45
South Carolina,62
South Dakota,56
Tennessee,53
Texas,58
Utah,56
Vermont,45
Virginia,35
Washington,37
West Virginia,69
Wisconsin,44
Wyoming,40
