date,sad,isPartial
2013-01-06,83,False
2013-01-13,83,False
2013-01-20,84,False
2013-01-27,83,False
2013-02-03,85,False
2013-02-10,84,False
2013-02-17,83,False
2013-02-24,86,False
2013-03-03,86,False
2013-03-10,81,False
2013-03-17,81,False
2013-03-24,82,False
2013-03-31,80,False
2013-04-07,83,False
2013-04-14,81,False
2013-04-21,84,False
2013-04-28,84,False
2013-05-05,84,False
2013-05-12,93,False
2013-05-19,89,False
2013-05-26,89,False
2013-06-02,90,False
2013-06-09,100,False
2013-06-16,87,False
2013-06-23,85,False
2013-06-30,80,False
2013-07-07,81,False
2013-07-14,81,False
2013-07-21,78,False
2013-07-28,81,False
2013-08-04,84,False
2013-08-11,80,False
2013-08-18,84,False
2013-08-25,79,False
2013-09-01,82,False
2013-09-08,86,False
2013-09-15,84,False
2013-09-22,85,False
2013-09-29,83,False
2013-10-06,88,False
2013-10-13,84,False
2013-10-20,85,False
2013-10-27,92,False
2013-11-03,98,False
2013-11-10,92,False
2013-11-17,97,False
2013-11-24,85,False
2013-12-01,88,False
2013-12-08,91,False
2013-12-15,94,False
2013-12-22,91,False
2013-12-29,85,False
