geoName,sadness
Alabama,58
Alaska,72
Arizona,82
Arkansas,65
California,100
Colorado,70
Connecticut,75
Delaware,69
District of Columbia,43
Florida,87
Georgia,62
Hawaii,90
Idaho,67
Illinois,77
Indiana,58
Iowa,68
Kansas,64
Kentucky,72
Louisiana,65
Maine,78
Maryland,66
Massachusetts,87
Michigan,71
Minnesota,64
Mississippi,66
Missouri,63
Montana,57
Nebraska,72
Nevada,98
New Hampshire,68
New Jersey,94
New Mexico,77
New York,90
North Carolina,60
North Dakota,69
Ohio,75
Oklahoma,82
Oregon,67
Pennsylvania,73
Rhode Island,77
South Carolina,54
South Dakota,61
Tennessee,64
Texas,73
Utah,81
Vermont,64
Virginia,81
Washington,71
West Virginia,79
Wisconsin,56
Wyoming,50
