date,sadness,isPartial
2014-01-05,97,False
2014-01-12,93,False
2014-01-19,96,False
2014-01-26,96,False
2014-02-02,91,False
2014-02-09,90,False
2014-02-16,84,False
2014-02-23,81,False
2014-03-02,83,False
2014-03-09,91,False
2014-03-16,93,False
2014-03-23,90,False
2014-03-30,81,False
2014-04-06,88,False
2014-04-13,89,False
2014-04-20,93,False
2014-04-27,94,False
2014-05-04,100,False
2014-05-11,90,False
2014-05-18,100,False
2014-05-25,96,False
2014-06-01,84,False
2014-06-08,83,False
2014-06-15,90,False
2014-06-22,83,False
2014-06-29,82,False
2014-07-06,87,False
2014-07-13,74,False
2014-07-20,75,False
2014-07-27,75,False
2014-08-03,63,False
2014-08-10,76,False
2014-08-17,69,False
2014-08-24,73,False
2014-08-31,73,False
2014-09-07,62,False
2014-09-14,73,False
2014-09-21,75,False
2014-09-28,64,False
2014-10-05,73,False
2014-10-12,62,False
2014-10-19,65,False
2014-10-26,59,False
2014-11-02,62,False
2014-11-09,63,False
2014-11-16,67,False
2014-11-23,55,False
2014-11-30,64,False
2014-12-07,61,False
2014-12-14,68,False
2014-12-21,56,False
2014-12-28,67,False
