geoName,scared
Alabama,96
Alaska,80
Arizona,87
Arkansas,86
California,83
Colorado,76
Connecticut,77
Delaware,82
District of Columbia,74
Florida,84
Georgia,90
Hawaii,75
Idaho,79
Illinois,88
Indiana,89
Iowa,77
Kansas,80
Kentucky,94
Louisiana,96
Maine,76
Maryland,89
Massachusetts,72
Michigan,82
Minnesota,76
Mississippi,100
Missouri,81
Montana,56
Nebraska,79
Nevada,86
New Hampshire,74
New Jersey,89
New Mexico,88
New York,83
North Carolina,91
North Dakota,62
Ohio,80
Oklahoma,88
Oregon,45
Pennsylvania,83
Rhode Island,85
South Carolina,95
South Dakota,75
Tennessee,89
Texas,90
Utah,79
Vermont,68
Virginia,69
Washington,75
West Virginia,91
Wisconsin,75
Wyoming,78
