geoName,separation
Alabama,75
Alaska,80
Arizona,77
Arkansas,68
California,72
Colorado,82
Connecticut,70
Delaware,83
District of Columbia,78
Florida,67
Georgia,87
Hawaii,84
Idaho,73
Illinois,63
Indiana,79
Iowa,72
Kansas,73
Kentucky,78
Louisiana,68
Maine,67
Maryland,97
Massachusetts,73
Michigan,71
Minnesota,64
Mississippi,70
Missouri,74
Montana,50
Nebraska,70
Nevada,67
New Hampshire,70
New Jersey,69
New Mexico,77
New York,75
North Carolina,100
North Dakota,81
Ohio,77
Oklahoma,73
Oregon,68
Pennsylvania,74
Rhode Island,75
South Carolina,83
South Dakota,90
Tennessee,72
Texas,69
Utah,69
Vermont,77
Virginia,100
Washington,80
West Virginia,82
Wisconsin,70
Wyoming,79
