geoName,seriousness
Alabama,39
Alaska,0
Arizona,24
Arkansas,100
California,32
Colorado,40
Connecticut,15
Delaware,0
District of Columbia,20
Florida,26
Georgia,25
Hawaii,0
Idaho,0
Illinois,37
Indiana,50
Iowa,48
Kansas,13
Kentucky,41
Louisiana,31
Maine,0
Maryland,36
Massachusetts,28
Michigan,25
Minnesota,42
Mississippi,10
Missouri,37
Montana,0
Nebraska,0
Nevada,57
New Hampshire,0
New Jersey,35
New Mexico,0
New York,25
North Carolina,22
North Dakota,0
Ohio,35
Oklahoma,18
Oregon,23
Pennsylvania,33
Rhode Island,0
South Carolina,61
South Dakota,0
Tennessee,27
Texas,17
Utah,60
Vermont,0
Virginia,36
Washington,31
West Virginia,0
Wisconsin,33
Wyoming,0
