date,seriousness,isPartial
2013-01-06,49,False
2013-01-13,66,False
2013-01-20,41,False
2013-01-27,68,False
2013-02-03,60,False
2013-02-10,52,False
2013-02-17,45,False
2013-02-24,63,False
2013-03-03,52,False
2013-03-10,44,False
2013-03-17,45,False
2013-03-24,38,False
2013-03-31,57,False
2013-04-07,61,False
2013-04-14,56,False
2013-04-21,62,False
2013-04-28,73,False
2013-05-05,69,False
2013-05-12,67,False
2013-05-19,54,False
2013-05-26,39,False
2013-06-02,25,False
2013-06-09,60,False
2013-06-16,59,False
2013-06-23,30,False
2013-06-30,49,False
2013-07-07,38,False
2013-07-14,58,False
2013-07-21,58,False
2013-07-28,25,False
2013-08-04,42,False
2013-08-11,54,False
2013-08-18,50,False
2013-08-25,44,False
2013-09-01,45,False
2013-09-08,36,False
2013-09-15,71,False
2013-09-22,48,False
2013-09-29,40,False
2013-10-06,52,False
2013-10-13,61,False
2013-10-20,72,False
2013-10-27,100,False
2013-11-03,83,False
2013-11-10,59,False
2013-11-17,66,False
2013-11-24,42,False
2013-12-01,52,False
2013-12-08,51,False
2013-12-15,44,False
2013-12-22,37,False
2013-12-29,29,False
