geoName,shattered
Alabama,47
Alaska,56
Arizona,59
Arkansas,77
California,55
Colorado,56
Connecticut,71
Delaware,59
District of Columbia,36
Florida,57
Georgia,60
Hawaii,63
Idaho,52
Illinois,60
Indiana,72
Iowa,60
Kansas,60
Kentucky,69
Louisiana,67
Maine,69
Maryland,62
Massachusetts,57
Michigan,60
Minnesota,57
Mississippi,51
Missouri,72
Montana,54
Nebraska,56
Nevada,64
New Hampshire,69
New Jersey,67
New Mexico,66
New York,60
North Carolina,47
North Dakota,45
Ohio,62
Oklahoma,66
Oregon,52
Pennsylvania,65
Rhode Island,50
South Carolina,60
South Dakota,46
Tennessee,70
Texas,68
Utah,61
Vermont,69
Virginia,64
Washington,51
West Virginia,100
Wisconsin,65
Wyoming,61
