date,shattered,isPartial
2014-01-05,49,False
2014-01-12,50,False
2014-01-19,56,False
2014-01-26,54,False
2014-02-02,43,False
2014-02-09,46,False
2014-02-16,45,False
2014-02-23,49,False
2014-03-02,43,False
2014-03-09,44,False
2014-03-16,43,False
2014-03-23,51,False
2014-03-30,50,False
2014-04-06,50,False
2014-04-13,50,False
2014-04-20,53,False
2014-04-27,45,False
2014-05-04,49,False
2014-05-11,60,False
2014-05-18,69,False
2014-05-25,60,False
2014-06-01,50,False
2014-06-08,49,False
2014-06-15,56,False
2014-06-22,52,False
2014-06-29,51,False
2014-07-06,52,False
2014-07-13,44,False
2014-07-20,46,False
2014-07-27,45,False
2014-08-03,47,False
2014-08-10,42,False
2014-08-17,59,False
2014-08-24,52,False
2014-08-31,44,False
2014-09-07,50,False
2014-09-14,64,False
2014-09-21,81,False
2014-09-28,97,False
2014-10-05,99,False
2014-10-12,99,False
2014-10-19,100,False
2014-10-26,91,False
2014-11-02,84,False
2014-11-09,98,False
2014-11-16,79,False
2014-11-23,73,False
2014-11-30,77,False
2014-12-07,99,False
2014-12-14,94,False
2014-12-21,87,False
2014-12-28,98,False
