geoName,siblings
Alabama,73
Alaska,59
Arizona,66
Arkansas,76
California,61
Colorado,62
Connecticut,64
Delaware,62
District of Columbia,56
Florida,56
Georgia,64
Hawaii,64
Idaho,62
Illinois,71
Indiana,76
Iowa,80
Kansas,69
Kentucky,65
Louisiana,71
Maine,69
Maryland,76
Massachusetts,69
Michigan,66
Minnesota,70
Mississippi,80
Missouri,66
Montana,56
Nebraska,69
Nevada,61
New Hampshire,65
New Jersey,72
New Mexico,58
New York,64
North Carolina,67
North Dakota,100
Ohio,69
Oklahoma,71
Oregon,37
Pennsylvania,71
Rhode Island,55
South Carolina,70
South Dakota,88
Tennessee,65
Texas,62
Utah,62
Vermont,42
Virginia,64
Washington,59
West Virginia,58
Wisconsin,64
Wyoming,61
