geoName,skills
Alabama,89
Alaska,86
Arizona,75
Arkansas,100
California,71
Colorado,67
Connecticut,79
Delaware,88
District of Columbia,59
Florida,70
Georgia,78
Hawaii,74
Idaho,85
Illinois,70
Indiana,93
Iowa,96
Kansas,73
Kentucky,73
Louisiana,80
Maine,85
Maryland,93
Massachusetts,73
Michigan,69
Minnesota,80
Mississippi,94
Missouri,77
Montana,74
Nebraska,81
Nevada,74
New Hampshire,78
New Jersey,76
New Mexico,76
New York,66
North Carolina,87
North Dakota,83
Ohio,85
Oklahoma,66
Oregon,59
Pennsylvania,76
Rhode Island,81
South Carolina,75
South Dakota,92
Tennessee,66
Texas,68
Utah,73
Vermont,73
Virginia,62
Washington,74
West Virginia,80
Wisconsin,83
Wyoming,86
