geoName,solitary
Alabama,73
Alaska,71
Arizona,58
Arkansas,52
California,62
Colorado,55
Connecticut,83
Delaware,90
District of Columbia,55
Florida,58
Georgia,59
Hawaii,65
Idaho,60
Illinois,68
Indiana,73
Iowa,76
Kansas,60
Kentucky,56
Louisiana,54
Maine,96
Maryland,76
Massachusetts,70
Michigan,69
Minnesota,66
Mississippi,58
Missouri,69
Montana,74
Nebraska,43
Nevada,60
New Hampshire,95
New Jersey,64
New Mexico,59
New York,72
North Carolina,63
North Dakota,46
Ohio,62
Oklahoma,57
Oregon,67
Pennsylvania,74
Rhode Island,81
South Carolina,48
South Dakota,77
Tennessee,56
Texas,54
Utah,58
Vermont,100
Virginia,67
Washington,53
West Virginia,79
Wisconsin,67
Wyoming,62
