geoName,sorrow
Alabama,78
Alaska,80
Arizona,75
Arkansas,100
California,68
Colorado,72
Connecticut,61
Delaware,68
District of Columbia,63
Florida,58
Georgia,71
Hawaii,61
Idaho,100
Illinois,64
Indiana,75
Iowa,57
Kansas,74
Kentucky,87
Louisiana,64
Maine,63
Maryland,56
Massachusetts,57
Michigan,71
Minnesota,58
Mississippi,84
Missouri,67
Montana,59
Nebraska,55
Nevada,62
New Hampshire,59
New Jersey,61
New Mexico,71
New York,64
North Carolina,69
North Dakota,37
Ohio,72
Oklahoma,76
Oregon,56
Pennsylvania,65
Rhode Island,70
South Carolina,74
South Dakota,55
Tennessee,90
Texas,61
Utah,71
Vermont,82
Virginia,61
Washington,63
West Virginia,82
Wisconsin,65
Wyoming,48
