date,sorrowful,isPartial
2015-01-04,48,False
2015-01-11,71,False
2015-01-18,100,False
2015-01-25,79,False
2015-02-01,56,False
2015-02-08,86,False
2015-02-15,69,False
2015-02-22,89,False
2015-03-01,89,False
2015-03-08,70,False
2015-03-15,89,False
2015-03-22,84,False
2015-03-29,97,False
2015-04-05,55,False
2015-04-12,51,False
2015-04-19,61,False
2015-04-26,50,False
2015-05-03,72,False
2015-05-10,79,False
2015-05-17,67,False
2015-05-24,52,False
2015-05-31,58,False
2015-06-07,44,False
2015-06-14,39,False
2015-06-21,37,False
2015-06-28,30,False
2015-07-05,34,False
2015-07-12,39,False
2015-07-19,49,False
2015-07-26,58,False
2015-08-02,49,False
2015-08-09,44,False
2015-08-16,69,False
2015-08-23,57,False
2015-08-30,58,False
2015-09-06,73,False
2015-09-13,63,False
2015-09-20,78,False
2015-09-27,80,False
2015-10-04,90,False
2015-10-11,71,False
2015-10-18,78,False
2015-10-25,66,False
2015-11-01,43,False
2015-11-08,56,False
2015-11-15,78,False
2015-11-22,47,False
2015-11-29,63,False
2015-12-06,69,False
2015-12-13,68,False
2015-12-20,46,False
2015-12-27,47,False
