geoName,sport
Alabama,70
Alaska,89
Arizona,79
Arkansas,74
California,99
Colorado,95
Connecticut,96
Delaware,80
District of Columbia,99
Florida,100
Georgia,76
Hawaii,83
Idaho,82
Illinois,85
Indiana,81
Iowa,77
Kansas,83
Kentucky,74
Louisiana,78
Maine,86
Maryland,97
Massachusetts,87
Michigan,78
Minnesota,89
Mississippi,72
Missouri,77
Montana,86
Nebraska,77
Nevada,98
New Hampshire,91
New Jersey,93
New Mexico,75
New York,87
North Carolina,83
North Dakota,90
Ohio,71
Oklahoma,75
Oregon,86
Pennsylvania,84
Rhode Island,82
South Carolina,79
South Dakota,89
Tennessee,79
Texas,78
Utah,83
Vermont,91
Virginia,98
Washington,85
West Virginia,80
Wisconsin,84
Wyoming,77
