geoName,strength
Alabama,95
Alaska,79
Arizona,80
Arkansas,87
California,71
Colorado,86
Connecticut,83
Delaware,74
District of Columbia,71
Florida,70
Georgia,76
Hawaii,83
Idaho,89
Illinois,72
Indiana,88
Iowa,86
Kansas,83
Kentucky,84
Louisiana,81
Maine,77
Maryland,78
Massachusetts,77
Michigan,80
Minnesota,83
Mississippi,78
Missouri,78
Montana,84
Nebraska,81
Nevada,67
New Hampshire,77
New Jersey,74
New Mexico,82
New York,69
North Carolina,78
North Dakota,81
Ohio,90
Oklahoma,86
Oregon,53
Pennsylvania,81
Rhode Island,79
South Carolina,86
South Dakota,100
Tennessee,83
Texas,78
Utah,91
Vermont,64
Virginia,81
Washington,82
West Virginia,80
Wisconsin,84
Wyoming,94
