geoName,struggle
Alabama,90
Alaska,81
Arizona,73
Arkansas,81
California,83
Colorado,66
Connecticut,75
Delaware,89
District of Columbia,77
Florida,73
Georgia,84
Hawaii,93
Idaho,82
Illinois,74
Indiana,75
Iowa,69
Kansas,68
Kentucky,74
Louisiana,82
Maine,60
Maryland,79
Massachusetts,72
Michigan,80
Minnesota,77
Mississippi,100
Missouri,82
Montana,55
Nebraska,82
Nevada,75
New Hampshire,66
New Jersey,86
New Mexico,68
New York,82
North Carolina,80
North Dakota,92
Ohio,75
Oklahoma,72
Oregon,47
Pennsylvania,77
Rhode Island,86
South Carolina,72
South Dakota,92
Tennessee,77
Texas,77
Utah,65
Vermont,66
Virginia,71
Washington,59
West Virginia,79
Wisconsin,69
Wyoming,79
