geoName,studies
Alabama,73
Alaska,63
Arizona,59
Arkansas,69
California,63
Colorado,61
Connecticut,78
Delaware,67
District of Columbia,81
Florida,53
Georgia,68
Hawaii,68
Idaho,54
Illinois,58
Indiana,73
Iowa,64
Kansas,66
Kentucky,66
Louisiana,74
Maine,72
Maryland,74
Massachusetts,82
Michigan,67
Minnesota,65
Mississippi,76
Missouri,63
Montana,59
Nebraska,63
Nevada,42
New Hampshire,67
New Jersey,66
New Mexico,61
New York,80
North Carolina,80
North Dakota,82
Ohio,70
Oklahoma,59
Oregon,62
Pennsylvania,65
Rhode Island,100
South Carolina,72
South Dakota,61
Tennessee,69
Texas,58
Utah,56
Vermont,93
Virginia,81
Washington,49
West Virginia,76
Wisconsin,63
Wyoming,57
