geoName,substance abuse
Alabama,59
Alaska,67
Arizona,60
Arkansas,46
California,38
Colorado,48
Connecticut,70
Delaware,71
District of Columbia,47
Florida,58
Georgia,49
Hawaii,49
Idaho,55
Illinois,41
Indiana,49
Iowa,71
Kansas,42
Kentucky,62
Louisiana,62
Maine,96
Maryland,80
Massachusetts,70
Michigan,68
Minnesota,37
Mississippi,37
Missouri,58
Montana,32
Nebraska,51
Nevada,49
New Hampshire,69
New Jersey,50
New Mexico,87
New York,51
North Carolina,88
North Dakota,39
Ohio,46
Oklahoma,55
Oregon,26
Pennsylvania,44
Rhode Island,80
South Carolina,40
South Dakota,53
Tennessee,44
Texas,36
Utah,65
Vermont,100
Virginia,45
Washington,30
West Virginia,72
Wisconsin,46
Wyoming,91
