geoName,suffering
Alabama,86
Alaska,58
Arizona,66
Arkansas,91
California,68
Colorado,66
Connecticut,71
Delaware,100
District of Columbia,81
Florida,69
Georgia,73
Hawaii,64
Idaho,91
Illinois,70
Indiana,79
Iowa,59
Kansas,66
Kentucky,72
Louisiana,78
Maine,75
Maryland,77
Massachusetts,64
Michigan,74
Minnesota,55
Mississippi,75
Missouri,71
Montana,64
Nebraska,70
Nevada,69
New Hampshire,69
New Jersey,74
New Mexico,75
New York,70
North Carolina,82
North Dakota,80
Ohio,76
Oklahoma,78
Oregon,57
Pennsylvania,78
Rhode Island,78
South Carolina,84
South Dakota,93
Tennessee,75
Texas,63
Utah,61
Vermont,52
Virginia,75
Washington,63
West Virginia,80
Wisconsin,69
Wyoming,57
