geoName,suicidal
Alabama,57
Alaska,85
Arizona,75
Arkansas,70
California,74
Colorado,71
Connecticut,57
Delaware,76
District of Columbia,56
Florida,58
Georgia,54
Hawaii,50
Idaho,83
Illinois,60
Indiana,74
Iowa,64
Kansas,66
Kentucky,70
Louisiana,61
Maine,65
Maryland,67
Massachusetts,67
Michigan,68
Minnesota,59
Mississippi,59
Missouri,64
Montana,40
Nebraska,66
Nevada,100
New Hampshire,82
New Jersey,62
New Mexico,68
New York,61
North Carolina,62
North Dakota,69
Ohio,66
Oklahoma,75
Oregon,63
Pennsylvania,62
Rhode Island,79
South Carolina,57
South Dakota,70
Tennessee,62
Texas,61
Utah,67
Vermont,85
Virginia,53
Washington,68
West Virginia,77
Wisconsin,66
Wyoming,86
