date,suicidal,isPartial
2013-01-06,75,False
2013-01-13,76,False
2013-01-20,73,False
2013-01-27,74,False
2013-02-03,72,False
2013-02-10,68,False
2013-02-17,77,False
2013-02-24,86,False
2013-03-03,88,False
2013-03-10,89,False
2013-03-17,88,False
2013-03-24,89,False
2013-03-31,91,False
2013-04-07,100,False
2013-04-14,88,False
2013-04-21,92,False
2013-04-28,91,False
2013-05-05,96,False
2013-05-12,86,False
2013-05-19,86,False
2013-05-26,78,False
2013-06-02,78,False
2013-06-09,69,False
2013-06-16,66,False
2013-06-23,67,False
2013-06-30,73,False
2013-07-07,69,False
2013-07-14,72,False
2013-07-21,70,False
2013-07-28,65,False
2013-08-04,67,False
2013-08-11,71,False
2013-08-18,81,False
2013-08-25,73,False
2013-09-01,76,False
2013-09-08,92,False
2013-09-15,87,False
2013-09-22,81,False
2013-09-29,85,False
2013-10-06,85,False
2013-10-13,87,False
2013-10-20,79,False
2013-10-27,84,False
2013-11-03,89,False
2013-11-10,92,False
2013-11-17,82,False
2013-11-24,77,False
2013-12-01,87,False
2013-12-08,89,False
2013-12-15,79,False
2013-12-22,71,False
2013-12-29,76,False
