geoName,sympathetic
Alabama,69
Alaska,50
Arizona,62
Arkansas,62
California,64
Colorado,58
Connecticut,59
Delaware,68
District of Columbia,47
Florida,61
Georgia,57
Hawaii,63
Idaho,70
Illinois,57
Indiana,62
Iowa,66
Kansas,62
Kentucky,66
Louisiana,60
Maine,71
Maryland,60
Massachusetts,60
Michigan,64
Minnesota,52
Mississippi,83
Missouri,68
Montana,60
Nebraska,57
Nevada,58
New Hampshire,54
New Jersey,54
New Mexico,66
New York,60
North Carolina,60
North Dakota,94
Ohio,62
Oklahoma,63
Oregon,59
Pennsylvania,62
Rhode Island,100
South Carolina,57
South Dakota,73
Tennessee,46
Texas,61
Utah,71
Vermont,52
Virginia,63
Washington,54
West Virginia,66
Wisconsin,61
Wyoming,62
