geoName,talk
Alabama,71
Alaska,38
Arizona,41
Arkansas,78
California,40
Colorado,42
Connecticut,43
Delaware,48
District of Columbia,45
Florida,45
Georgia,63
Hawaii,41
Idaho,51
Illinois,46
Indiana,64
Iowa,54
Kansas,80
Kentucky,56
Louisiana,66
Maine,74
Maryland,45
Massachusetts,43
Michigan,46
Minnesota,54
Mississippi,100
Missouri,60
Montana,67
Nebraska,51
Nevada,42
New Hampshire,59
New Jersey,39
New Mexico,48
New York,42
North Carolina,61
North Dakota,71
Ohio,51
Oklahoma,48
Oregon,34
Pennsylvania,49
Rhode Island,43
South Carolina,70
South Dakota,81
Tennessee,65
Texas,45
Utah,49
Vermont,56
Virginia,50
Washington,43
West Virginia,64
Wisconsin,47
Wyoming,65
