date,talk,isPartial
2013-01-06,87,False
2013-01-13,86,False
2013-01-20,82,False
2013-01-27,87,False
2013-02-03,89,False
2013-02-10,86,False
2013-02-17,87,False
2013-02-24,83,False
2013-03-03,84,False
2013-03-10,86,False
2013-03-17,84,False
2013-03-24,85,False
2013-03-31,83,False
2013-04-07,81,False
2013-04-14,79,False
2013-04-21,78,False
2013-04-28,80,False
2013-05-05,79,False
2013-05-12,79,False
2013-05-19,82,False
2013-05-26,81,False
2013-06-02,79,False
2013-06-09,85,False
2013-06-16,84,False
2013-06-23,85,False
2013-06-30,82,False
2013-07-07,83,False
2013-07-14,88,False
2013-07-21,83,False
2013-07-28,84,False
2013-08-04,85,False
2013-08-11,80,False
2013-08-18,82,False
2013-08-25,80,False
2013-09-01,80,False
2013-09-08,90,False
2013-09-15,100,False
2013-09-22,85,False
2013-09-29,82,False
2013-10-06,82,False
2013-10-13,80,False
2013-10-20,80,False
2013-10-27,80,False
2013-11-03,85,False
2013-11-10,81,False
2013-11-17,84,False
2013-11-24,88,False
2013-12-01,86,False
2013-12-08,85,False
2013-12-15,85,False
2013-12-22,90,False
2013-12-29,88,False
