geoName,talking
Alabama,58
Alaska,52
Arizona,100
Arkansas,59
California,52
Colorado,53
Connecticut,52
Delaware,52
District of Columbia,49
Florida,53
Georgia,57
Hawaii,44
Idaho,45
Illinois,55
Indiana,57
Iowa,54
Kansas,50
Kentucky,58
Louisiana,56
Maine,54
Maryland,49
Massachusetts,53
Michigan,53
Minnesota,48
Mississippi,64
Missouri,54
Montana,47
Nebraska,55
Nevada,56
New Hampshire,51
New Jersey,54
New Mexico,55
New York,50
North Carolina,55
North Dakota,46
Ohio,53
Oklahoma,54
Oregon,40
Pennsylvania,55
Rhode Island,59
South Carolina,54
South Dakota,50
Tennessee,55
Texas,55
Utah,48
Vermont,58
Virginia,48
Washington,50
West Virginia,64
Wisconsin,48
Wyoming,45
