geoName,terrified
Alabama,39
Alaska,94
Arizona,47
Arkansas,58
California,42
Colorado,45
Connecticut,40
Delaware,40
District of Columbia,52
Florida,39
Georgia,58
Hawaii,70
Idaho,47
Illinois,50
Indiana,47
Iowa,53
Kansas,42
Kentucky,53
Louisiana,49
Maine,100
Maryland,53
Massachusetts,43
Michigan,59
Minnesota,41
Mississippi,44
Missouri,60
Montana,58
Nebraska,36
Nevada,38
New Hampshire,66
New Jersey,47
New Mexico,25
New York,48
North Carolina,52
North Dakota,54
Ohio,47
Oklahoma,45
Oregon,54
Pennsylvania,57
Rhode Island,58
South Carolina,46
South Dakota,18
Tennessee,45
Texas,40
Utah,51
Vermont,77
Virginia,46
Washington,53
West Virginia,42
Wisconsin,45
Wyoming,0
