date,terrified,isPartial
2012-01-01,63,False
2012-01-08,65,False
2012-01-15,76,False
2012-01-22,76,False
2012-01-29,67,False
2012-02-05,60,False
2012-02-12,76,False
2012-02-19,68,False
2012-02-26,55,False
2012-03-04,58,False
2012-03-11,76,False
2012-03-18,78,False
2012-03-25,68,False
2012-04-01,69,False
2012-04-08,63,False
2012-04-15,88,False
2012-04-22,75,False
2012-04-29,82,False
2012-05-06,55,False
2012-05-13,92,False
2012-05-20,64,False
2012-05-27,78,False
2012-06-03,75,False
2012-06-10,66,False
2012-06-17,70,False
2012-06-24,75,False
2012-07-01,64,False
2012-07-08,67,False
2012-07-15,92,False
2012-07-22,54,False
2012-07-29,71,False
2012-08-05,62,False
2012-08-12,72,False
2012-08-19,67,False
2012-08-26,61,False
2012-09-02,56,False
2012-09-09,83,False
2012-09-16,78,False
2012-09-23,65,False
2012-09-30,74,False
2012-10-07,85,False
2012-10-14,73,False
2012-10-21,63,False
2012-10-28,100,False
2012-11-04,62,False
2012-11-11,61,False
2012-11-18,65,False
2012-11-25,84,False
2012-12-02,73,False
2012-12-09,81,False
2012-12-16,87,False
2012-12-23,65,False
2012-12-30,72,False
