geoName,therapy
Alabama,76
Alaska,77
Arizona,84
Arkansas,84
California,67
Colorado,86
Connecticut,84
Delaware,96
District of Columbia,70
Florida,72
Georgia,63
Hawaii,68
Idaho,86
Illinois,70
Indiana,78
Iowa,81
Kansas,75
Kentucky,81
Louisiana,87
Maine,98
Maryland,80
Massachusetts,88
Michigan,76
Minnesota,77
Mississippi,75
Missouri,74
Montana,90
Nebraska,89
Nevada,73
New Hampshire,86
New Jersey,80
New Mexico,83
New York,75
North Carolina,78
North Dakota,100
Ohio,73
Oklahoma,82
Oregon,84
Pennsylvania,88
Rhode Island,90
South Carolina,79
South Dakota,89
Tennessee,83
Texas,65
Utah,90
Vermont,88
Virginia,74
Washington,87
West Virginia,86
Wisconsin,80
Wyoming,96
