geoName,tired
Alabama,90
Alaska,78
Arizona,75
Arkansas,87
California,70
Colorado,71
Connecticut,80
Delaware,76
District of Columbia,80
Florida,70
Georgia,78
Hawaii,71
Idaho,72
Illinois,74
Indiana,86
Iowa,77
Kansas,77
Kentucky,83
Louisiana,78
Maine,74
Maryland,76
Massachusetts,73
Michigan,82
Minnesota,73
Mississippi,90
Missouri,81
Montana,84
Nebraska,80
Nevada,76
New Hampshire,75
New Jersey,82
New Mexico,74
New York,73
North Carolina,78
North Dakota,82
Ohio,82
Oklahoma,88
Oregon,68
Pennsylvania,100
Rhode Island,83
South Carolina,84
South Dakota,76
Tennessee,84
Texas,75
Utah,75
Vermont,78
Virginia,75
Washington,70
West Virginia,91
Wisconsin,75
Wyoming,64
