geoName,trajectory
Alabama,64
Alaska,63
Arizona,44
Arkansas,41
California,33
Colorado,54
Connecticut,33
Delaware,34
District of Columbia,29
Florida,34
Georgia,32
Hawaii,32
Idaho,56
Illinois,39
Indiana,45
Iowa,49
Kansas,50
Kentucky,44
Louisiana,38
Maine,37
Maryland,57
Massachusetts,48
Michigan,34
Minnesota,39
Mississippi,40
Missouri,44
Montana,71
Nebraska,42
Nevada,15
New Hampshire,46
New Jersey,38
New Mexico,37
New York,33
North Carolina,51
North Dakota,35
Ohio,42
Oklahoma,52
Oregon,48
Pennsylvania,43
Rhode Island,41
South Carolina,43
South Dakota,78
Tennessee,44
Texas,39
Utah,57
Vermont,61
Virginia,55
Washington,37
West Virginia,60
Wisconsin,36
Wyoming,100
