geoName,trapped
Alabama,72
Alaska,59
Arizona,50
Arkansas,79
California,58
Colorado,51
Connecticut,63
Delaware,88
District of Columbia,49
Florida,60
Georgia,65
Hawaii,49
Idaho,75
Illinois,65
Indiana,66
Iowa,60
Kansas,60
Kentucky,64
Louisiana,76
Maine,59
Maryland,66
Massachusetts,63
Michigan,66
Minnesota,53
Mississippi,100
Missouri,61
Montana,73
Nebraska,47
Nevada,51
New Hampshire,65
New Jersey,65
New Mexico,59
New York,62
North Carolina,60
North Dakota,52
Ohio,67
Oklahoma,65
Oregon,37
Pennsylvania,60
Rhode Island,45
South Carolina,64
South Dakota,45
Tennessee,67
Texas,55
Utah,62
Vermont,57
Virginia,52
Washington,54
West Virginia,65
Wisconsin,54
Wyoming,63
